angDist,Name_1,HaKiDaSName,RA_1,DEC_1,GaiaID,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Vmag,Kmag_x,Name_2,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
4.844933,HD241894,HaKiDaS00039,78.816913,29.285771999999998,3422652536173655936,9.096789,9.85251,8.285009,9.578,6.271,HD241894,4491.07385353,2.3376286589200004,1,-0.266437835854,0.101411291615,-21.7,143140788154413802, 78.815403080, 29.286049300,0.008,0.008,90,310456320,37,55931.065868060,0,4,,,,,0,,,,,0,17.0638,0.0216,17.0361,0.0079,1048,17.2786,0.0337,15.6232,0.0900,16778264,,,,,0
4.863579,HD241894,HaKiDaS00039,78.816913,29.285771999999998,3422652536173655936,9.096789,9.85251,8.285009,9.578,6.271,HD241894,4491.07385353,2.3376286589200004,1,-0.266437835854,0.101411291615,-21.7,143140788166962085, 78.816598370, 29.284449170,0.013,0.013,90,276901888,33,55767.924548610,0,10,14.2276,0.1362,13.0038,0.0010,24,14.2383,0.0015,,,16777232,13.3922,0.0068,11.9316,0.0320,16777240,13.4884,0.3173,,,16777240,12.7103,0.0010,11.1414,0.0010,16777240
4.879389,HD241894,HaKiDaS00039,78.816913,29.285771999999998,3422652536173655936,9.096789,9.85251,8.285009,9.578,6.271,HD241894,4491.07385353,2.3376286589200004,1,-0.266437835854,0.101411291615,-21.7,143140788177410855, 78.817663710, 29.284585260,2484.100,1305.970,90,1119354880,133,55937.970613430,1,10,,,,,32,14.3607,0.0211,13.6262,0.2024,16777272,13.5581,0.0054,11.9917,0.1452,16777272,14.4681,0.0024,12.9208,0.0013,16778296,12.8405,0.0010,10.8031,0.0010,16891960
4.867652,HD177830,HaKiDaS00043,286.339213,25.918564,2035963417721248128,6.8865967,7.438053599999999,6.238636,7.183,4.809,HD177830,4713.75697403,3.4000475156200003,1,0.13535628584,0.09119353826269999,12.540179604,139102863383814289,286.338219270, 25.919578600,0.026,0.026,90,276901888,33,55335.672002310,0,3,,,,,0,,,,,0,13.7490,0.1145,11.9336,0.0000,16777240,,,,,0,,,,,0
4.668107,60551,HaKiDaS00046,194.908517,28.931378000000002,1463926962753040512,11.933739,12.21868,11.499977000000001,12.005,10.743,60551,6231.25223375,4.17858365324,2,0.0292646313619,0.046362245116099994,0.6229499087,142711949089789656,194.908988920, 28.932607160,0.012,0.012,90,310456320,37,56018.508854170,0,3,,,,,0,14.8341,0.0534,12.0124,0.0356,16777496,18.8741,0.0271,17.9844,0.0142,4120,,,,,0,,,,,0
3.923310,HD246370,HaKiDaS00048,85.47029599999999,26.041247,3440953387524972416,8.6195345,9.181985000000001,7.942473,8.968,6.487,HD246370,6473.07488885,2.34701149631,1,0.294186282781,0.12229951071799999,-19.61,139240854713779101, 85.471258980, 26.040584370,0.017,0.017,90,268959744,32,55580.901238430,0,4,14.1099,0.0012,13.5146,0.0010,24,9.1803,0.0010,13.8120,0.0010,24,14.4453,0.0023,13.9147,0.0011,4120,,,,,0,,,,,0
3.693073,IOLyr,HaKiDaS00049,275.656233,32.961586,4593112037219674368,11.7637,11.934858,11.298273,13.122,10.444,IOLyr,4601.40649528,2.9138625698799996,0,-1.86419644115,0.320485407135,0.544735619591,147552756549774682,275.655020570, 32.961718420,0.264,0.107,0,444915712,53,56155.970625000,3,8,,,,,16416,21.3752,0.1100,20.5458,0.1704,16892216,20.7900,0.1261,20.2401,0.1787,16892216,20.8445,0.0190,20.4762,0.1493,16892216,,,,,16416
4.385409,HD041994,HaKiDaS00052,92.361088,27.195511,3430248306097176832,7.5072575,8.0925255,6.829928,7.856,5.31,HD041994,5129.6314607,2.29150038639,1,-0.17662234959000003,0.088727572011,-17.0,140630923601564583, 92.360002620, 27.194768070,0.011,0.011,90,276897792,33,56043.334363430,0,8,,,,,0,13.8831,0.0661,12.2644,0.2532,16777240,13.6473,0.0496,12.7874,0.0010,16777240,,,,,0,12.6293,0.0205,10.5420,0.1084,16777240
4.503682,HD041994,HaKiDaS00052,92.361088,27.195511,3430248306097176832,7.5072575,8.0925255,6.829928,7.856,5.31,HD041994,5129.6314607,2.29150038639,1,-0.17662234959000003,0.088727572011,-17.0,140630923602544009, 92.360162170, 27.194569230,0.011,0.011,90,276901888,33,55752.153726850,0,5,14.0951,0.0010,13.4669,0.0011,16777240,,,,,0,,,,,0,12.8901,0.0760,11.2681,0.0405,16777240,12.3286,0.0061,10.2916,0.1118,16777240
4.096645,HD003008,HaKiDaS00053,8.310175,-10.73015,2425521212060616960,8.998602,9.720724,8.216476,9.485,6.417000000000001,HD003008,4222.4719042,0.683286002249,0,-1.81558291933,0.0649649299612,-25.26,95120083096925540,  8.309656730,-10.729132330,0.042,0.042,90,277348352,33,56913.842650460,0,5,,,,,0,13.1774,0.0099,12.5513,0.0657,16777240,8.7236,0.0854,13.1610,0.0606,24,,,,,0,9.3507,0.0010,10.0092,0.0010,24
3.070841,HD189733,HaKiDaS00056,300.176954,22.709111,1827242816201846144,7.4143229999999996,7.913022,6.8080087,7.682,5.541,HD189733,4991.82030554,4.56270611855,1,-0.0254188534864,0.0861302758122,1.8,135253001763730706,300.176352350, 22.708463240,0.007,0.007,0,503635968,60,56000.256562500,5,51,17.5963,0.0063,17.7250,0.0000,115000,16.2878,0.0042,16.1413,0.0633,16892216,15.5923,0.0061,15.7691,0.0254,115000,15.1814,0.0072,,,16892216,14.8400,0.0052,14.6808,0.1491,115000
1.703333,63433,HaKiDaS00059,195.038971,27.915439000000003,1460804762048766848,12.026167999999998,12.24826,11.649758,12.325,10.972000000000001,63433,6156.65552886,3.97148852507,2,-0.9348481547249999,0.0462379060972,0.923566512923,141491950394279341,195.039441810, 27.915664370,0.038,0.034,0,444915712,53,55944.669409720,3,11,,,,,16416,19.1248,0.0197,17.7039,0.0134,16892216,18.6124,0.0162,,,16892216,18.4414,0.1126,16.7402,0.2350,16892216,,,,,16416
4.289035,HE1523-1155,HaKiDaS00062,231.672129,-12.094844,6314934159552034304,13.046553,13.647778,12.323003,13.01,10.748,HE1523-1155,5194.80190886,1.8299080295599996,0,-1.9830931263,0.170443817178,-6.22314269627,93482316709836152,231.670969100,-12.095208870,0.024,0.011,90,503635968,60,55824.244861110,4,57,13.8156,0.0005,13.8743,0.0007,115000,13.1280,,,,114724,12.7740,,,,16420,12.5640,,,,114724,12.4766,0.0019,12.4979,0.0013,115000
4.907859,HD108577,HaKiDaS00064,187.069233,12.346278,3907872613852996864,9.334561,9.770366000000001,8.758916000000001,9.526,7.462999999999999,HD108577,5046.27492506,2.0885041321799998,0,-2.09288652917,0.0753452899191,15.2778463606,122811870698904344,187.069788450, 12.345027340,0.017,0.017,90,268959744,32,56288.454745370,0,5,10.7257,0.0217,12.0893,0.0970,24,,,,,0,8.6684,0.0010,12.1633,0.0010,24,13.1645,0.0015,12.7332,0.0010,16777232,,,,,0
3.092365,17583-100,HaKiDaS00066,325.612796,26.677217,1800455375724578304,12.170608,12.491202000000001,11.676646,12.05,10.657,17583-100,6121.79669443,3.8975214584300004,0,-1.9982881607299998,0.274695216812,17.76,140013256118613139,325.611849430, 26.677067090,0.024,0.020,0,436527104,52,55996.645347220,3,31,,,,,16416,21.8628,0.1638,21.3589,0.2375,16793912,20.8376,0.0198,20.7483,0.0591,16892216,20.2005,0.0218,19.9286,0.0746,115000,19.4761,0.1913,18.3181,0.0000,115000
4.328352,17583-100,HaKiDaS00066,325.612796,26.677217,1800455375724578304,12.170608,12.491202000000001,11.676646,12.05,10.657,17583-100,6121.79669443,3.8975214584300004,0,-1.9982881607299998,0.274695216812,17.76,140013256117034185,325.611840680, 26.678063700,0.215,0.082,0,436527104,52,55654.934606480,4,11,22.2577,0.0694,21.9961,0.2539,115000,21.5482,0.0517,20.6981,0.1205,16892216,21.6402,0.0870,21.0077,0.1636,115000,20.8793,0.1926,,,115000,,,,,16416
0.795735,HD70088,HaKiDaS00067,125.336046,34.310258000000005,903348277956806528,8.30813,8.685255999999999,7.8134227,8.515,6.818,HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46,149171253360863126,125.336123560, 34.310469550,0.014,0.014,90,277348352,33,56132.437847220,0,4,,,,,0,,,,,0,13.8706,0.0012,13.6229,0.0010,16781336,13.4480,0.0015,12.2808,0.0010,16777240,,,,,0
2.814897,HD70088,HaKiDaS00067,125.336046,34.310258000000005,903348277956806528,8.30813,8.685255999999999,7.8134227,8.515,6.818,HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46,149171253355781949,125.335809030, 34.309500980,0.001,0.001,90,1343750144,160,56100.451377310,5,6,,,,,114720,,,,,114720,8.3459,0.0778,11.5033,0.1105,114736,8.5693,0.0063,13.3616,0.0012,114744,7.8173,0.0220,9.7534,0.0814,114744
2.855862,HD70088,HaKiDaS00067,125.336046,34.310258000000005,903348277956806528,8.30813,8.685255999999999,7.8134227,8.515,6.818,HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46,149171253370793040,125.336929710, 34.310568650,0.001,0.001,90,268513280,32,55799.476550930,0,12,,,,,0,13.5474,0.2211,,,16781336,13.9131,0.0000,11.5795,0.0000,16777240,11.5215,0.3321,,,24,10.7348,0.4399,11.0598,0.0136,24
3.365552,HD70088,HaKiDaS00067,125.336046,34.310258000000005,903348277956806528,8.30813,8.685255999999999,7.8134227,8.515,6.818,HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46,149171253370983422,125.337056020, 34.310679880,0.016,0.016,90,302145536,36,56368.206678240,0,21,15.2685,0.0019,14.5781,0.0019,16778264,13.1970,0.0652,12.6939,0.0549,24,13.0651,0.0000,,,4120,10.8041,0.0010,12.5655,0.0010,24,10.6655,0.0102,10.8241,0.1026,24
3.517703,HD70088,HaKiDaS00067,125.336046,34.310258000000005,903348277956806528,8.30813,8.685255999999999,7.8134227,8.515,6.818,HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46,149171253365482175,125.336650400, 34.309418020,0.013,0.013,90,276901888,33,56259.992303240,0,4,,,,,0,,,,,0,13.8146,0.0444,11.0571,0.0340,16777240,,,,,0,9.7975,0.0011,10.2015,0.0010,16
3.734124,HD70088,HaKiDaS00067,125.336046,34.310258000000005,903348277956806528,8.30813,8.685255999999999,7.8134227,8.515,6.818,HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46,149171253350641963,125.334972620, 34.309719650,0.025,0.025,90,276901888,33,55911.546203700,0,7,13.1531,0.1213,13.0895,0.0275,16777240,13.9020,0.1513,12.3140,0.0040,16777240,13.9374,0.0012,11.9085,0.0010,16777240,,,,,0,12.5149,0.0018,,,24
4.773039,HD70088,HaKiDaS00067,125.336046,34.310258000000005,903348277956806528,8.30813,8.685255999999999,7.8134227,8.515,6.818,HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46,149171253372053746,125.337333600, 34.311049660,0.016,0.016,90,1417830400,169,56114.646666670,0,3,8.4340,,,,4,8.4390,,,,16420,8.5290,,,,16420,8.6370,,,,16420,8.6870,,,,4
