Name_1,HaKiDaSName,RA_1,DEC_1,GaiaID,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Vmag,Kmag_x,Name_2,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
HD241894,HaKiDaS00039,78.816913,29.285771999999998,3422652536173655936,9.096789,9.85251,8.285009,9.578,6.271,HD241894,4491.07385353,2.3376286589200004,1,-0.266437835854,0.101411291615,-21.7
BD-11145,HaKiDaS00040,12.102333,-10.688339,2377539761575614080,10.537825999999999,11.030562,9.903884,10.73,8.495,BD-11145,4924.99121546,1.57017072537,0,-2.86506702499,0.113171067856,27.83
CNLyr,HaKiDaS00041,280.318342,28.725281,4539434124372063744,11.326093,11.647647000000001,10.80866,11.386,10.036,CNLyr,6621.08701693,3.5663580509199995,2,-0.900340135751,0.379866728432,2.74762771286
HE1104-0957,HaKiDaS00042,166.834367,-10.220472000000001,3758906900164720256,10.2751,11.216797,9.409676,10.767999999999999,7.317,HE1104-0957,4056.24521232,1.5355530887900002,1,-0.941557024871,0.33818858041999994,29.2303234487
HD177830,HaKiDaS00043,286.339213,25.918564,2035963417721248128,6.8865967,7.438053599999999,6.238636,7.183,4.809,HD177830,4713.75697403,3.4000475156200003,1,0.13535628584,0.09119353826269999,12.540179604
V1221Tau,HaKiDaS00044,52.059841999999996,4.163725,3275301176136626432,9.557862,9.781369,8.787452,9.639,7.444,V1221Tau,5069.6734422,4.08882883804,0,-2.855,0.519894045149,28.26
HD85773,HaKiDaS00045,148.41573799999998,-22.836306,5660878702718068864,8.97911,9.652372,8.221964999999999,9.41,6.505,HD85773,4333.21519283,0.699085828606,0,-2.47814895283,0.07761436852,3.71860057991
60551,HaKiDaS00046,194.908517,28.931378000000002,1463926962753040512,11.933739,12.21868,11.499977000000001,12.005,10.743,60551,6231.25223375,4.17858365324,2,0.0292646313619,0.046362245116099994,0.6229499087
HD44007,HaKiDaS00047,94.705383,-14.845564000000001,2993364748147267456,7.7698026,8.263926,7.145619,8.06,5.702999999999999,HD44007,4906.04174666,2.3043347696,0,-1.4829542118599999,0.0367253563849,-20.9947262164
HD246370,HaKiDaS00048,85.47029599999999,26.041247,3440953387524972416,8.6195345,9.181985000000001,7.942473,8.968,6.487,HD246370,6473.07488885,2.34701149631,1,0.294186282781,0.12229951071799999,-19.61
IOLyr,HaKiDaS00049,275.656233,32.961586,4593112037219674368,11.7637,11.934858,11.298273,13.122,10.444,IOLyr,4601.40649528,2.9138625698799996,0,-1.86419644115,0.320485407135,0.544735619591
HD214161,HaKiDaS00050,339.282337,-40.506739,6545771884159036928,8.859679,9.334059,8.253445,9.124,6.854,HD214161,4776.0971349,2.0567776938900004,0,-1.84161864442,0.0370817475689,8.86
G48-29,HaKiDaS00051,145.179821,1.009953,3846427888295815552,10.340125,10.576002,9.973039,10.504000000000001,9.264,G48-29,6931.48698946,4.38308665452,0,-2.1851428571400002,0.43116335272699996,-1.51540550614
HD041994,HaKiDaS00052,92.361088,27.195511,3430248306097176832,7.5072575,8.0925255,6.829928,7.856,5.31,HD041994,5129.6314607,2.29150038639,1,-0.17662234959000003,0.088727572011,-17.0
HD003008,HaKiDaS00053,8.310175,-10.73015,2425521212060616960,8.998602,9.720724,8.216476,9.485,6.417000000000001,HD003008,4222.4719042,0.683286002249,0,-1.81558291933,0.0649649299612,-25.26
HE2134-3940,HaKiDaS00054,324.440421,-39.45565,6585479578366156672,12.450339,12.959811,11.812762,12.48,10.427,HE2134-3940,5027.47949869,2.07228235478,0,-1.3324361926100001,0.150847872911,25.1798131256
UUCet,HaKiDaS00055,1.023771,-16.996722000000002,2414817603803476864,11.986022,12.181252,11.569097,13.323,10.782,UUCet,4618.18283975,2.6530963858,0,-1.9894705614700001,0.294491786164,27.6524761059
HD189733,HaKiDaS00056,300.176954,22.709111,1827242816201846144,7.4143229999999996,7.913022,6.8080087,7.682,5.541,HD189733,4991.82030554,4.56270611855,1,-0.0254188534864,0.0861302758122,1.8
BD+042621,HaKiDaS00057,187.18868799999998,4.025253,3707617672026060928,9.654866,10.165967,9.010589999999999,9.906,7.5489999999999995,BD+042621,4766.53819259,1.66481015426,0,-2.32642215665,0.0667012459743,-25.28
HE0319-0215,HaKiDaS00058,50.439178999999996,-2.072428,3262319242347448320,13.509649,14.161485999999998,12.753328,13.59,11.062999999999999,HE0319-0215,4740.04287641,1.29349006726,0,-1.66310854859,0.288586967143,26.75
63433,HaKiDaS00059,195.038971,27.915439000000003,1460804762048766848,12.026167999999998,12.24826,11.649758,12.325,10.972000000000001,63433,6156.65552886,3.97148852507,2,-0.9348481547249999,0.0462379060972,0.923566512923
HD193653,HaKiDaS00061,305.424037,-7.758047,4215988933398838272,8.738727,8.983994500000001,8.385978999999999,8.87,7.636,HD193653,6232.70445135,4.09383701684,2,-0.895382602424,0.130583752808,-29.17
HE1523-1155,HaKiDaS00062,231.672129,-12.094844,6314934159552034304,13.046553,13.647778,12.323003,13.01,10.748,HE1523-1155,5194.80190886,1.8299080295599996,0,-1.9830931263,0.170443817178,-6.22314269627
HD108577,HaKiDaS00064,187.069233,12.346278,3907872613852996864,9.334561,9.770366000000001,8.758916000000001,9.526,7.462999999999999,HD108577,5046.27492506,2.0885041321799998,0,-2.09288652917,0.0753452899191,15.2778463606
17583-100,HaKiDaS00066,325.612796,26.677217,1800455375724578304,12.170608,12.491202000000001,11.676646,12.05,10.657,17583-100,6121.79669443,3.8975214584300004,0,-1.9982881607299998,0.274695216812,17.76
HD70088,HaKiDaS00067,125.336046,34.310258000000005,903348277956806528,8.30813,8.685255999999999,7.8134227,8.515,6.818,HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46
XO-1,HaKiDaS00068,240.552371,28.170069,1316708918505350528,11.003967999999999,11.369422,10.498775,11.26,9.527000000000001,XO-1,5506.96881877,4.409541158730001,2,-0.0160817217833,0.042584597966999996,-11.4
HD103545,HaKiDaS00071,178.863871,9.131781,3912005716714761216,9.124880000000001,9.635289,8.481401,9.482999999999999,6.9879999999999995,HD103545,4725.03205667,1.7564060140200002,0,-2.0842129374900003,0.0652383626923,29.8998105334
HE1425-2052,HaKiDaS00073,217.164796,-21.101842,6282682322413339136,11.968577999999999,12.728531,11.143703,12.6,9.273,HE1425-2052,4166.09381212,0.562414334687,0,-1.41463446301,0.136870605324,-10.873736038099999
HD036702,HaKiDaS00075,82.969192,-38.555856,4809142471233678208,7.914775,8.621181,7.1404065999999995,8.375,5.329,HD036702,4173.25680774,0.655041998154,0,-2.02416849466,0.0531875317298,-11.34
HD221851,HaKiDaS00076,353.857925,31.158283,2871343486014101888,7.6681356,8.126073,7.090235000000001,7.912000000000001,5.91,HD221851,5125.00401448,4.562704972990001,2,-0.027035055702,0.0642401341586,20.89
HD187111,HaKiDaS00077,297.168304,-12.122286,4189688954569244032,7.268495,8.0005665,6.4672995,7.737,4.5489999999999995,HD187111,4328.15244185,1.20904572402,0,-1.94085947813,0.104349849619,23.95
M13L70,HaKiDaS00078,250.346258,36.503478,1328105150377778048,11.524046,12.356897,10.64904,12.22,8.526,M13L70,3883.22649779,0.37202103314900004,0,-1.5091799853499999,0.095304109765,-3.45703162046
