#lambda (Ang), continuum-normalized flux
6353.700, 0.9991
6353.840, 0.9989
6353.980, 0.9985
6354.120, 0.9981
6354.260, 0.9976
6354.400, 0.9970
6354.540, 0.9965
6354.680, 0.9960
6354.820, 0.9957
6354.960, 0.9954
6355.100, 0.9954
6355.240, 0.9955
6355.380, 0.9958
6355.520, 0.9962
6355.660, 0.9967
6355.800, 0.9973
6355.940, 0.9978
6356.080, 0.9983
6356.220, 0.9987
6356.360, 0.9990
6356.500, 0.9993
6356.640, 0.9994
6356.780, 0.9995
6356.920, 0.9996
6357.060, 0.9995
6357.200, 0.9994
6357.340, 0.9993
6357.480, 0.9990
6357.620, 0.9988
6357.760, 0.9984
6357.900, 0.9980
6358.040, 0.9975
6358.180, 0.9971
6358.320, 0.9967
6358.460, 0.9964
6358.600, 0.9962
6358.740, 0.9962
6358.880, 0.9963
6359.020, 0.9965
6359.160, 0.9969
6359.300, 0.9973
6359.440, 0.9977
6359.580, 0.9981
6359.720, 0.9985
6359.860, 0.9988
6360.000, 0.9990
6360.140, 0.9992
6360.280, 0.9992
6360.420, 0.9993
6360.560, 0.9993
6360.700, 0.9993
6360.840, 0.9993
6360.980, 0.9993
6361.120, 0.9992
6361.260, 0.9992
6361.400, 0.9991
6361.540, 0.9991
6361.680, 0.9990
6361.820, 0.9989
6361.960, 0.9987
6362.100, 0.9986
6362.240, 0.9985
6362.380, 0.9984
6362.520, 0.9983
6362.660, 0.9983
6362.800, 0.9983
6362.940, 0.9983
6363.080, 0.9984
6363.220, 0.9985
6363.360, 0.9986
6363.500, 0.9987
6363.640, 0.9988
6363.780, 0.9988
6363.920, 0.9988
6364.060, 0.9989
6364.200, 0.9989
6364.340, 0.9989
6364.480, 0.9989
6364.620, 0.9990
6364.760, 0.9990
6364.900, 0.9991
6365.040, 0.9991
6365.180, 0.9992
6365.320, 0.9993
6365.460, 0.9993
6365.600, 0.9993
6365.740, 0.9993
6365.880, 0.9992
6366.020, 0.9992
6366.160, 0.9991
6366.300, 0.9991
6366.440, 0.9991
6366.580, 0.9991
6366.720, 0.9992
6366.860, 0.9992
6367.000, 0.9993
6367.140, 0.9994
6367.280, 0.9995
6367.420, 0.9995
6367.560, 0.9996
6367.700, 0.9996
6367.840, 0.9997
6367.980, 0.9997
6368.120, 0.9997
6368.260, 0.9996
6368.400, 0.9996
6368.540, 0.9995
6368.680, 0.9994
6368.820, 0.9993
6368.960, 0.9991
6369.100, 0.9990
6369.240, 0.9989
6369.380, 0.9988
6369.520, 0.9988
6369.660, 0.9987
6369.800, 0.9987
6369.940, 0.9987
6370.080, 0.9987
6370.220, 0.9987
6370.360, 0.9987
6370.500, 0.9987
6370.640, 0.9986
6370.780, 0.9985
6370.920, 0.9985
6371.060, 0.9984
6371.200, 0.9984
6371.340, 0.9984
6371.480, 0.9985
6371.620, 0.9986
6371.760, 0.9987
6371.900, 0.9989
6372.040, 0.9990
6372.180, 0.9992
6372.320, 0.9993
6372.460, 0.9995
6372.600, 0.9996
6372.740, 0.9997
6372.880, 0.9997
6373.020, 0.9998
6373.160, 0.9998
6373.300, 0.9998
6373.440, 0.9998
6373.580, 0.9998
6373.720, 0.9998
6373.860, 0.9998
6374.000, 0.9998
6374.140, 0.9998
6374.280, 0.9998
6374.420, 0.9998
6374.560, 0.9998
6374.700, 0.9997
6374.840, 0.9997
6374.980, 0.9997
6375.120, 0.9997
6375.260, 0.9997
6375.400, 0.9997
6375.540, 0.9997
6375.680, 0.9997
6375.820, 0.9997
6375.960, 0.9997
6376.100, 0.9997
6376.240, 0.9997
6376.380, 0.9997
6376.520, 0.9997
6376.660, 0.9997
6376.800, 0.9997
6376.940, 0.9997
6377.080, 0.9996
6377.220, 0.9995
6377.360, 0.9995
6377.500, 0.9994
6377.640, 0.9993
6377.780, 0.9992
6377.920, 0.9991
6378.060, 0.9990
6378.200, 0.9990
6378.340, 0.9990
6378.480, 0.9990
6378.620, 0.9991
6378.760, 0.9991
6378.900, 0.9992
6379.040, 0.9993
6379.180, 0.9993
6379.320, 0.9993
6379.460, 0.9993
6379.600, 0.9992
6379.740, 0.9990
6379.880, 0.9989
6380.020, 0.9986
6380.160, 0.9984
6380.300, 0.9982
6380.440, 0.9980
6380.580, 0.9979
6380.720, 0.9979
6380.860, 0.9979
6381.000, 0.9980
6381.140, 0.9981
6381.280, 0.9983
6381.420, 0.9986
6381.560, 0.9988
6381.700, 0.9990
6381.840, 0.9992
6381.980, 0.9994
6382.120, 0.9995
6382.260, 0.9996
6382.400, 0.9996
6382.540, 0.9996
6382.680, 0.9996
6382.820, 0.9996
6382.960, 0.9996
6383.100, 0.9996
6383.240, 0.9995
6383.380, 0.9994
6383.520, 0.9994
6383.660, 0.9993
6383.800, 0.9992
6383.940, 0.9992
6384.080, 0.9991
6384.220, 0.9991
6384.360, 0.9990
6384.500, 0.9990
6384.640, 0.9990
6384.780, 0.9990
6384.920, 0.9990
6385.060, 0.9990
6385.200, 0.9991
6385.340, 0.9992
6385.480, 0.9992
6385.620, 0.9993
6385.760, 0.9993
6385.900, 0.9994
6386.040, 0.9995
6386.180, 0.9995
6386.320, 0.9996
6386.460, 0.9996
6386.600, 0.9997
6386.740, 0.9997
6386.880, 0.9997
6387.020, 0.9997
6387.160, 0.9997
6387.300, 0.9998
6387.440, 0.9998
6387.580, 0.9998
6387.720, 0.9998
6387.860, 0.9998
6388.000, 0.9998
6388.140, 0.9998
6388.280, 0.9997
6388.420, 0.9997
6388.560, 0.9997
6388.700, 0.9997
6388.840, 0.9997
6388.980, 0.9997
6389.120, 0.9997
6389.260, 0.9997
6389.400, 0.9997
6389.540, 0.9997
6389.680, 0.9997
6389.820, 0.9997
6389.960, 0.9997
6390.100, 0.9997
6390.240, 0.9997
6390.380, 0.9997
6390.520, 0.9996
6390.660, 0.9996
6390.800, 0.9996
6390.940, 0.9996
6391.080, 0.9996
6391.220, 0.9996
6391.360, 0.9995
6391.500, 0.9994
6391.640, 0.9992
6391.780, 0.9988
6391.920, 0.9983
6392.060, 0.9974
6392.200, 0.9963
6392.340, 0.9947
6392.480, 0.9926
6392.620, 0.9900
6392.760, 0.9871
6392.900, 0.9838
6393.040, 0.9805
6393.180, 0.9775
6393.320, 0.9750
6393.460, 0.9733
6393.600, 0.9727
6393.740, 0.9732
6393.880, 0.9748
6394.020, 0.9772
6394.160, 0.9802
6394.300, 0.9835
6394.440, 0.9867
6394.580, 0.9898
6394.720, 0.9924
6394.860, 0.9945
6395.000, 0.9962
6395.140, 0.9974
6395.280, 0.9982
6395.420, 0.9988
6395.560, 0.9992
6395.700, 0.9994
6395.840, 0.9995
6395.980, 0.9996
6396.120, 0.9997
6396.260, 0.9997
6396.400, 0.9997
6396.540, 0.9997
6396.680, 0.9997
6396.820, 0.9997
6396.960, 0.9997
6397.100, 0.9997
6397.240, 0.9997
6397.380, 0.9997
6397.520, 0.9997
6397.660, 0.9996
6397.800, 0.9995
6397.940, 0.9993
6398.080, 0.9990
6398.220, 0.9986
6398.360, 0.9978
6398.500, 0.9967
6398.640, 0.9950
6398.780, 0.9928
6398.920, 0.9898
6399.060, 0.9863
6399.200, 0.9821
6399.340, 0.9776
6399.480, 0.9730
6399.620, 0.9688
6399.760, 0.9654
6399.900, 0.9631
6400.040, 0.9622
6400.180, 0.9629
6400.320, 0.9649
6400.460, 0.9682
6400.600, 0.9724
6400.740, 0.9769
6400.880, 0.9814
6401.020, 0.9857
6401.160, 0.9893
6401.300, 0.9924
6401.440, 0.9947
6401.580, 0.9965
6401.720, 0.9977
6401.860, 0.9985
6402.000, 0.9990
6402.140, 0.9993
6402.280, 0.9995
6402.420, 0.9996
6402.560, 0.9997
6402.700, 0.9997
6402.840, 0.9997
6402.980, 0.9997
6403.120, 0.9997
6403.260, 0.9997
6403.400, 0.9997
6403.540, 0.9997
6403.680, 0.9997
6403.820, 0.9997
6403.960, 0.9997
6404.100, 0.9997
6404.240, 0.9997
6404.380, 0.9997
6404.520, 0.9997
6404.660, 0.9997
6404.800, 0.9997
6404.940, 0.9997
6405.080, 0.9997
6405.220, 0.9997
6405.360, 0.9997
6405.500, 0.9997
6405.640, 0.9996
6405.780, 0.9996
6405.920, 0.9995
6406.060, 0.9994
6406.200, 0.9991
6406.340, 0.9988
6406.480, 0.9984
6406.620, 0.9979
6406.760, 0.9971
