Name,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
HD119516,5434.60529964,2.49838532807,0,-1.8726973359799999,0.0681398591937,20.2207875351
HD206739,4596.51935517,1.84245735801,0,-1.4347226719400001,0.0466668403123,-28.0440220392
HD241894,4491.07385353,2.3376286589200004,1,-0.266437835854,0.101411291615,-21.7
BD-11145,4924.99121546,1.57017072537,0,-2.86506702499,0.113171067856,27.83
CNLyr,6621.08701693,3.5663580509199995,2,-0.900340135751,0.379866728432,2.74762771286
HE1104-0957,4056.24521232,1.5355530887900002,1,-0.941557024871,0.33818858041999994,29.2303234487
HD177830,4713.75697403,3.4000475156200003,1,0.13535628584,0.09119353826269999,12.540179604
V1221Tau,5069.6734422,4.08882883804,0,-2.855,0.519894045149,28.26
HD85773,4333.21519283,0.699085828606,0,-2.47814895283,0.07761436852,3.71860057991
60551,6231.25223375,4.17858365324,2,0.0292646313619,0.046362245116099994,0.6229499087
HD44007,4906.04174666,2.3043347696,0,-1.4829542118599999,0.0367253563849,-20.9947262164
HD246370,6473.07488885,2.34701149631,1,0.294186282781,0.12229951071799999,-19.61
IOLyr,4601.40649528,2.9138625698799996,0,-1.86419644115,0.320485407135,0.544735619591
HD214161,4776.0971349,2.0567776938900004,0,-1.84161864442,0.0370817475689,8.86
G48-29,6931.48698946,4.38308665452,0,-2.1851428571400002,0.43116335272699996,-1.51540550614
HD041994,5129.6314607,2.29150038639,1,-0.17662234959000003,0.088727572011,-17.0
HD003008,4222.4719042,0.683286002249,0,-1.81558291933,0.0649649299612,-25.26
HD003008,4222.4719042,0.683286002249,0,-1.78847876975,0.0474020323157,-24.69
HE2134-3940,5027.47949869,2.07228235478,0,-1.3324361926100001,0.150847872911,25.1798131256
UUCet,4618.18283975,2.6530963858,0,-1.9894705614700001,0.294491786164,27.6524761059
HD189733,4991.82030554,4.56270611855,1,-0.0254188534864,0.0861302758122,1.8
BD+042621,4766.53819259,1.66481015426,0,-2.32642215665,0.0667012459743,-25.28
HE0319-0215,4740.04287641,1.29349006726,0,-1.66310854859,0.288586967143,26.75
63433,6156.65552886,3.97148852507,2,-0.9348481547249999,0.0462379060972,0.923566512923
HD193653,6232.70445135,4.09383701684,2,-0.895382602424,0.130583752808,-29.17
HE1523-1155,5194.80190886,1.8299080295599996,0,-1.9830931263,0.170443817178,-6.22314269627
HD108577,5046.27492506,2.0885041321799998,0,-2.09288652917,0.0753452899191,15.2778463606
17583-100,6121.79669443,3.8975214584300004,0,-1.9982881607299998,0.274695216812,17.76
HD70088,5493.43015046,4.46854872495,2,-0.190497471479,0.07289853511080001,28.46
XO-1,5506.96881877,4.409541158730001,2,-0.0160817217833,0.042584597966999996,-11.4
HD103545,4725.03205667,1.7564060140200002,0,-2.0842129374900003,0.0652383626923,29.8998105334
HE1425-2052,4166.09381212,0.562414334687,0,-1.41463446301,0.136870605324,-10.873736038099999
HD036702,4173.25680774,0.655041998154,0,-2.02416849466,0.0531875317298,-11.34
HD221851,5125.00401448,4.562704972990001,2,-0.027035055702,0.0642401341586,20.89
HD187111,4328.15244185,1.20904572402,0,-1.94085947813,0.104349849619,23.95
M13L70,3883.22649779,0.37202103314900004,0,-1.5091799853499999,0.095304109765,-3.45703162046
HD237846,4988.50931336,2.20725071072,0,-2.8754727152599995,0.109599999913,-9.24137395939
BD+102495,4983.54613863,2.42202600765,0,-2.0072775592,0.0551959548367,18.8156888719
BD+292356,4827.20965952,1.62024668563,0,-1.6720946282,0.050271639668300006,12.6756158391
BD-035215,5638.16020873,2.66182947599,0,-1.26764801809,0.0417236436827,9.1
HD33771,4627.3830977,1.80468545867,0,-1.90315676917,0.0390461669178,-14.713069434300001
HD68988,5836.48631639,4.2888448635500005,2,0.341632954894,0.047942339459,-18.4036661915
HD224959,4954.38665972,2.59469872791,0,-1.8482256996400002,0.13425656223500002,23.9350010269
BD+12.2547,4672.47872181,1.75783310303,0,-1.62203034443,0.116132725317,-25.7185735041
G59-27,6579.65964509,4.18538497858,0,-1.7662344879799998,0.11657450772299999,-19.92
BD+302611,4203.55196009,0.9548124441660001,0,-1.38950657759,0.0464776869544,18.8592628645
G53-41,5906.76414844,4.34234420731,0,-1.3605157325400001,0.0709494395528,4.0645926369
BD-18271,4280.22919974,0.8279690588390001,0,-2.22091462041,0.0664521451024,25.0
CS29497-034,3374.06191457,1.35501759215,1,-0.230935519175,0.306393369668,13.48
HD28185,5760.45544465,4.42700571719,2,0.215252499469,0.0563331594183,-10.6512181418
HD179949,6072.88612659,4.2583001169,2,0.0946401780679,0.0688618284823,23.1860338071
BD+06648,4325.18739496,0.911801856592,0,-2.06950291194,0.0512201949909,-7.17139252305
BD+06648,4325.18739496,0.911801856592,0,-2.0329971746099997,0.056908071757300005,-26.08
NGC2682141,4727.45961425,2.7353379626599996,1,-0.213528792155,0.102238924122,5.9
HD187085,5998.96212242,4.17495311386,2,-0.00114476608261,0.0376461164724,12.97
HE0017+0055,4175.69648295,1.76582740901,1,-0.469161904565,0.159602276002,-28.743270949499998
BD-10548,4700.58861177,2.31993556514,0,-1.59391857252,0.0698854359017,26.63
HD214362,5834.78263233,2.68910442994,0,-1.78951776056,0.07332170893239999,13.47
HD19994,6042.30741287,4.05376841234,2,0.0707357672863,0.096051540575,-19.1383826767
M4L3209,3917.62144182,0.758041961669,0,-1.39295403882,0.28858049389699997,-28.97
BD+042466,5068.46467254,2.1885849583000003,0,-1.9539671574400002,0.0739660941885,10.6643757437
HD80606,5506.65992588,4.3575499105,2,0.286580217551,0.09001679794339999,-23.2454693995
HD80606,5506.65992588,4.3575499105,2,0.38766565131499997,0.0677274861525,15.9198436689
