Name,HaKiDaSName,RA,DEC,DateObs,Wmin,Wmax,R,GaiaID,Gmag,Parallax,pmra,pmdec,rv_gaia
DMCyg,HaKiDaS00024,320.297458,32.194294,2004-06-28,501.892609925,789.113156823,60000.0,1853751143864356736,11.587441,0.96516926781,1.7394639751900003,-2.9014260695200003,9.342147962030001
HD204543,HaKiDaS00025,322.369017,-3.515311,2001-06-04,432.428116146,722.8031601539999,50000.0,2672702897842335872,7.9833050000000005,1.45882355164,-1.62513617146,-46.7534736984,-99.3343845946
VXHer,HaKiDaS00026,247.670954,18.369744,2004-06-28,502.410629762,789.928435905,60000.0,4467433017735910912,10.85825,0.9796588558409999,-51.161872845,20.0700027301,-357.241036713
VYSer,HaKiDaS00027,232.756421,1.6821830000000002,2004-06-28,502.02821015800004,789.293439658,60000.0,4417888542753226112,10.065284,1.3165927159200002,-104.516706986,-9.56620697718,-126.894817494
HD112869,HaKiDaS00029,194.843921,37.820789000000005,2003-12-08,400.330664407,681.7954744130001,60000.0,1517430126275260416,8.335802000000001,0.510813186973,-21.0624373519,-17.08942262,-134.373611054
HD6268,HaKiDaS00030,15.825667000000001,-27.884414000000003,2002-08-22,305.12858035700003,483.524071664,90000.0,5033960575837265920,7.806767,1.41659014352,-29.6515465287,-33.6429415284,39.5193166667
61990,HaKiDaS00031,195.129717,28.457046999999996,2002-03-20,408.423903089,689.4074972989999,51428.5714286,1463849447184497408,10.233981,3.76849070898,29.4156812052,-65.5849673193,-16.6404232558
HD107752,HaKiDaS00032,185.719667,11.605306,2005-02-28,399.837415449,680.966461084,60000.0,3907404501070114560,9.698839,0.726105310051,-46.440083465600004,-36.5259115475,219.61292980099998
HD33605,HaKiDaS00034,78.140617,27.605646999999998,2007-01-29,435.393133885,713.7104244669999,36000.0,3421869821331495552,8.016427,5.19623084069,-1.78523099628,-1.9116574621900002,23.7938084502
HD130322,HaKiDaS00035,221.888171,-0.28335,2001-06-02,408.396229775,895.044489043,90000.0,3650718804281798912,7.8344765,31.342327674,-130.798447645,-140.365148914,-12.428964810899998
