Name,[Mg1/H],[Mg1/H]error,[Al1/H],[Al1/H]error,[Si1/H],[Si1/H]error,[Ca1/H],[Ca1/H]error,[Sc2/H],[Sc2/H]error,[Ti1/H],[Ti1/H]error,[Ti2/H],[Ti2/H]error,[V1/H],[V1/H]error,[Cr1/H],[Cr1/H]error,[Cr2/H],[Cr2/H]error,[Mn1/H],[Mn1/H]error,[Co1/H],[Co1/H]error,[Ni1/H],[Ni1/H]error,[Zn1/H],[Zn1/H]error
HD162020,0.20907107664299998,0.0,,,,,0.05233333333330001,0.125396260798,0.29600000000000004,0.0555937646384,-0.027999999999999997,0.07257639653039999,0.443666666667,0.21257991961199998,0.156375660658,0.128043928579,0.33333333333299997,0.0945597988342,,,0.774574500034,0.170823645498,0.306979794824,0.0551849595153,0.198875,0.160058143732,,
RZLyr,,,,,,,,,,,,,0.523,0.769,,,1.8330000000000002,0.0,,,,,,,,,,
BD+092870,,,,,-0.013999999999999999,0.0,0.305571428571,0.114918427147,0.09825,0.0729464700997,0.2256,0.0998170326147,0.099,0.0728611693565,,,0.29866666666700004,0.0412660743092,,,0.25105777255600004,0.0,,,0.118666666667,0.0111455023315,,
M4L4511,,,,,,,-1.7169999999999999,0.0,-1.4380000000000002,0.23,-1.949,0.434,-0.9570000000000001,0.0,-5.425651040319999,0.0,,,,,-6.6916940882,0.0,-0.454599140729,0.0,-1.5615,0.27141711442,,
RSBoo,,,,,-0.002,0.0,-0.2595,0.0145,-0.0795,0.38581893421700003,-0.46125,0.295007097372,-0.2076,0.07007881277530001,,,-0.20875,0.303855537221,,,-0.272730235836,0.0,0.876920344497,0.0,-0.354666666667,0.299600103842,,
HD252041,-0.536676269675,0.0,,,,,-0.187,0.004,0.01,0.0,-0.1676,0.0563474932894,-0.06966666666669999,0.14692931029,0.10416906860099999,0.0601754131341,0.46299999999999997,0.113264292696,,,0.584624087223,0.0,0.289416589605,0.0,-0.04583333333330001,0.202400112538,,
HD74462,,,,,0.67,0.0,0.485166666667,0.0505153991923,0.5512,0.061035727242300004,0.4158,0.0596033556102,0.633125,0.0713677754662,,,0.419,0.0684884418473,,,0.729481911391,0.0210914960697,,,0.47275,0.12020685296599999,,
HD74462,,,,,1.212,0.0,1.3335,0.0239635139326,1.35533333333,0.0730540135029,1.2388,0.11883669467,1.4442857142899999,0.0910850690065,,,1.3455,0.0735,,,0.8651537290989999,0.276252850976,,,1.15325,0.0359748175812,,
HD74156,-1.17191145272,0.0,,,0.038,0.018000000000000002,0.02675,0.0560596780226,0.0718,0.0865734370347,-0.0330666666667,0.049761386190099996,0.0595,0.0827118492116,-0.07404332605910001,0.0766916927857,-0.05033333333330001,0.058810429914,,,-0.031243891877599995,0.0196207230065,0.0278127805877,0.032931947426900005,0.043,0.050403372903,,
HD150706,,,,,-0.13699999999999998,0.005,-0.09975,0.021741377601200002,-0.1528,0.0389173483167,-0.18706666666700003,0.059201876847099995,-0.081125,0.0528214859219,-0.257689868976,0.0367086174655,-0.15388888888900001,0.0349489928147,,,-0.219738349776,0.044030795408,-0.380437572699,0.281653130878,-0.18491666666700002,0.033991318336,,
