# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Sep 18 04:09:25 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Subaru/Hyper Suprime-Cam (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  gmag    rmag    imag    zmag    ymag    NB816mag  NB921mag
0.0015467 -1.00000 10.00000 0.7867228985 2.4139909744    0.786  0.050  3.7917  4.402    1  0.000  0.533     0.00     0.00 -1 -9.96e-14      0.00 8.304e-01 1.684e-01 2.060e-04 5.652e-05 5.154e-04 -1.000 1.169e-03 4.645 4.981 4.463 4.143 4.021 3.993 4.053 3.997
0.0015467 -1.00000 10.00000 0.7951595783 2.4170198441    0.794  0.094  3.7943  4.373    1  0.000  0.532     0.00     0.00 -1 -1.13e-13      0.00 8.343e-01 1.646e-01 2.022e-04 5.550e-05 5.062e-04 -1.000 1.148e-03 4.535 4.864 4.355 4.040 3.920 3.893 3.951 3.897
0.0015467 -1.00000 10.00000 0.8000000119 2.4187245369    0.799  0.120  3.7957  4.355    1  0.000  0.532     0.00     0.00 -1 -1.23e-13      0.00 8.365e-01 1.624e-01 2.000e-04 5.491e-05 5.009e-04 -1.000 1.141e-03 4.469 4.793 4.290 3.977 3.859 3.833 3.889 3.837
0.0015467 -1.00000 10.00000 0.8032187819 2.4198451042    0.802  0.138  3.7967  4.343    1  0.000  0.532     0.00     0.00 -1 -1.29e-13      0.00 8.375e-01 1.613e-01 1.990e-04 5.465e-05 4.987e-04 -1.000 1.142e-03 4.425 4.746 4.247 3.935 3.818 3.792 3.848 3.796
0.0015467 -1.00000 10.00000 0.8110998273 2.4225454330    0.810  0.183  3.7988  4.311    1  0.000  0.532     0.00     0.00 -1 -1.48e-13      0.00 8.399e-01 1.590e-01 1.969e-04 5.408e-05 4.936e-04 -1.000 1.112e-03 4.312 4.628 4.136 3.828 3.713 3.688 3.742 3.692
0.0015467 -1.00000 10.00000 0.8183593154 2.4249799252    0.817  0.226  3.8006  4.279    1  0.000  0.531     0.00     0.00 -1 -1.68e-13      0.00 8.418e-01 1.571e-01 1.952e-04 5.365e-05 4.898e-04 -1.000 1.102e-03 4.206 4.516 4.030 3.726 3.613 3.588 3.640 3.592
0.0015467 -1.00000 10.00000 0.8275811672 2.4280018806    0.826  0.283  3.8022  4.233    1  0.000  0.531     0.00     0.00 -1 -2.01e-13      0.00 8.431e-01 1.558e-01 1.943e-04 5.343e-05 4.880e-04 -1.000 1.129e-03 4.062 4.367 3.887 3.587 3.475 3.451 3.502 3.454
0.0015467 -1.00000 10.00000 0.8348063827 2.4303159714    0.834  0.331  3.8031  4.192    1  0.000  0.531     0.00     0.00 -1 -2.36e-13      0.00 8.429e-01 1.559e-01 1.948e-04 5.356e-05 4.893e-04 -1.000 1.140e-03 3.942 4.243 3.767 3.469 3.358 3.334 3.384 3.337
0.0015467 -1.00000 10.00000 0.8350276351 2.4303860664    0.834  0.333  3.8031  4.191    1  0.000  0.531     0.00     0.00 -1 -2.37e-13      0.00 8.429e-01 1.559e-01 1.948e-04 5.357e-05 4.893e-04 -1.000 1.140e-03 3.939 4.239 3.764 3.465 3.354 3.330 3.381 3.333
0.0015467 -1.00000 10.00000 0.8383916616 2.4314472675    0.837  0.357  3.8030  4.168    1  0.000  0.530     0.00     0.00 -1 -2.57e-13      0.00 8.427e-01 1.562e-01 1.952e-04 5.368e-05 4.904e-04 -1.000 1.140e-03 3.877 4.177 3.702 3.403 3.293 3.268 3.319 3.272
0.0015467 -1.00000 10.00000 0.8452125192 2.4335689545    0.844  0.410  3.8018  4.113    1  0.000  0.530     0.00     0.00 -1 -3.06e-13      0.00 8.422e-01 1.567e-01 1.960e-04 5.390e-05 4.925e-04 -1.000 1.135e-03 3.745 4.045 3.568 3.268 3.156 3.131 3.183 3.135
0.0015467 -1.00000 10.00000 0.8500000238 2.4350347519    0.848  0.452  3.7995  4.065    1  0.000  0.530     0.00     0.00 -1 -3.55e-13      0.00 8.419e-01 1.570e-01 1.965e-04 5.405e-05 4.939e-04 -1.000 1.140e-03 3.641 3.946 3.462 3.158 3.044 3.018 3.072 3.022
0.0015467 -1.00000 10.00000 0.8509466648 2.4353225231    0.849  0.460  3.7991  4.056    1  0.000  0.530     0.00     0.00 -1 -3.66e-13      0.00 8.416e-01 1.572e-01 1.968e-04 5.413e-05 4.946e-04 -1.000 1.142e-03 3.620 3.926 3.441 3.137 3.022 2.996 3.051 3.000
0.0015467 -1.00000 10.00000 0.8520476818 2.4356560707    0.851  0.470  3.7984  4.043    1  0.000  0.530     0.00     0.00 -1 -3.82e-13      0.00 8.413e-01 1.575e-01 1.971e-04 5.423e-05 4.955e-04 -1.000 1.145e-03 3.595 3.902 3.415 3.110 2.994 2.968 3.023 2.972
0.0015467 -1.00000 10.00000 0.8530575037 2.4359610081    0.851  0.480  3.7974  4.029    2  0.000  0.530     0.00     0.00 -1 -3.96e-13      0.00 8.411e-01 1.578e-01 1.974e-04 5.431e-05 4.962e-04 -1.000 1.147e-03 3.569 3.879 3.389 3.082 2.966 2.939 2.995 2.944
0.0015467 -1.00000 10.00000 0.8571413755 2.4371864796    0.855  0.523  3.7917  3.965    2  0.000  0.530     0.00     0.00 -1 -4.68e-13      0.00 8.383e-01 1.605e-01 2.011e-04 5.532e-05 5.054e-04 -1.000 1.179e-03 3.461 3.784 3.277 2.961 2.839 2.810 2.871 2.815
0.0015467 -1.00000 10.00000 0.8600205183 2.4380424023    0.858  0.556  3.7849  3.907    2  0.000  0.531     0.00     0.00 -1 -5.39e-13      0.00 8.308e-01 1.680e-01 2.109e-04 5.798e-05 5.295e-04 -1.000 1.218e-03 3.379 3.719 3.191 2.863 2.735 2.703 2.771 2.709
0.0015467 -1.00000 10.00000 0.8621232510 2.4386632442    0.860  0.581  3.7774  3.853    2  0.000  0.532     0.00     0.00 -1 -6.07e-13      0.00 8.184e-01 1.803e-01 2.250e-04 6.178e-05 5.637e-04 -1.000 1.279e-03 3.317 3.678 3.126 2.785 2.650 2.615 2.690 2.623
0.0015467 -1.00000 10.00000 0.8637412786 2.4391386509    0.862  0.599  3.7693  3.803    2  0.000  0.533     0.00     0.00 -1  -6.7e-13      0.00 7.996e-01 1.991e-01 2.425e-04 6.648e-05 6.058e-04 -1.000 1.366e-03 3.272 3.656 3.079 2.724 2.580 2.541 2.624 2.550
0.0015467 -1.00000 10.00000 0.8650749326 2.4395289421    0.863  0.614  3.7606  3.755    2  0.000  0.535     0.00     0.00 -1 -7.33e-13      0.00 7.833e-01 2.153e-01 2.564e-04 7.021e-05 6.390e-04 -1.000 1.451e-03 3.235 3.646 3.040 2.670 2.518 2.475 2.566 2.486
