# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue Oct 13 10:03:06 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Subaru/Hyper Suprime-Cam (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  gmag    rmag    imag    zmag    ymag    NB816mag  NB921mag
0.00015547 -2.00000 10.00000 0.8070230484 2.4211561680    0.806  0.409  3.8269  4.195    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.84e-13      0.00 8.546e-01 1.452e-01 1.905e-05 5.250e-06 4.805e-05 -1.000 1.091e-04 3.747 3.940 3.784 3.762 3.794 3.814 3.770 3.807
0.00015547 -2.00000 10.00000 0.8136357665 2.4234015942    0.812  0.469  3.8285  4.145    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.44e-13      0.00 8.526e-01 1.473e-01 1.927e-05 5.309e-06 4.858e-05 -1.000 1.176e-04 3.598 3.784 3.633 3.615 3.648 3.669 3.624 3.662
0.00015547 -2.00000 10.00000 0.8149558902 2.4238448143    0.814  0.482  3.8286  4.133    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-13      0.00 8.522e-01 1.477e-01 1.931e-05 5.321e-06 4.869e-05 -1.000 1.194e-04 3.566 3.750 3.600 3.583 3.616 3.637 3.592 3.630
0.00015547 -2.00000 10.00000 0.8157649636 2.4241156578    0.814  0.490  3.8286  4.125    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.72e-13      0.00 8.519e-01 1.479e-01 1.934e-05 5.329e-06 4.876e-05 -1.000 1.205e-04 3.544 3.728 3.578 3.561 3.594 3.614 3.570 3.608
0.00015547 -2.00000 10.00000 0.8203254342 2.4256308079    0.819  0.541  3.8275  4.072    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1  -4.4e-13      0.00 8.505e-01 1.494e-01 1.949e-05 5.370e-06 4.913e-05 -1.000 1.264e-04 3.418 3.602 3.450 3.432 3.464 3.484 3.440 3.477
0.00015547 -2.00000 10.00000 0.8246924877 2.4270637035    0.823  0.597  3.8239  4.004    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1  -5.4e-13      0.00 8.492e-01 1.507e-01 1.963e-05 5.409e-06 4.949e-05 -1.000 1.319e-04 3.278 3.467 3.307 3.283 3.312 3.330 3.290 3.324
0.00015547 -2.00000 10.00000 0.8254671693 2.4273159504    0.824  0.608  3.8229  3.990    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-13      0.00 8.489e-01 1.510e-01 1.966e-05 5.416e-06 4.955e-05 -1.000 1.329e-04 3.251 3.441 3.279 3.254 3.282 3.299 3.260 3.294
0.00015547 -2.00000 10.00000 0.8261401653 2.4275348186    0.825  0.618  3.8217  3.975    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -5.89e-13      0.00 8.487e-01 1.512e-01 1.968e-05 5.422e-06 4.960e-05 -1.000 1.338e-04 3.225 3.417 3.252 3.225 3.251 3.269 3.231 3.263
0.00015547 -2.00000 10.00000 0.8283998370 2.4282662868    0.827  0.656  3.8158  3.915    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -6.85e-13      0.00 8.480e-01 1.519e-01 1.976e-05 5.442e-06 4.979e-05 -1.000 1.366e-04 3.130 3.333 3.154 3.117 3.137 3.152 3.120 3.147
0.00015547 -2.00000 10.00000 0.8301202059 2.4288203716    0.828  0.690  3.8084  3.852    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -7.94e-13      0.00 8.475e-01 1.524e-01 1.981e-05 5.457e-06 4.992e-05 -1.000 1.388e-04 3.046 3.265 3.065 3.015 3.028 3.042 3.015 3.037
0.00015547 -2.00000 10.00000 0.8314615488 2.4292504787    0.830  0.720  3.7996  3.788    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -9.16e-13      0.00 8.471e-01 1.528e-01 1.986e-05 5.469e-06 5.003e-05 -1.000 1.406e-04 2.970 3.211 2.985 2.919 2.924 2.934 2.915 2.930
0.00015547 -2.00000 10.00000 0.8325399160 2.4295949936    0.831  0.747  3.7900  3.722    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-12      0.00 8.467e-01 1.531e-01 1.989e-05 5.479e-06 5.012e-05 -1.000 1.373e-04 2.902 3.167 2.912 2.830 2.824 2.831 2.820 2.828
0.00015547 -2.00000 10.00000 0.8334375024 2.4298810959    0.832  0.772  3.7800  3.657    2  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-12      0.00 8.414e-01 1.585e-01 2.044e-05 5.627e-06 5.145e-05 -1.000 1.246e-04 2.839 3.131 2.846 2.746 2.731 2.733 2.731 2.732
0.00015547 -2.00000 10.00000 0.8342190981 2.4301295280    0.832  0.796  3.7705  3.596    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-12      0.00 8.204e-01 1.794e-01 2.244e-05 6.162e-06 5.623e-05 -1.000 1.167e-04 2.780 3.098 2.784 2.667 2.642 2.640 2.648 2.641
0.00015547 -2.00000 10.00000 0.8349398375 2.4303581715    0.833  0.822  3.7619  3.537    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-12      0.00 7.974e-01 2.025e-01 2.458e-05 6.736e-06 6.135e-05 -1.000 1.273e-04 2.716 3.060 2.719 2.586 2.554 2.548 2.564 2.551
0.00015547 -2.00000 10.00000 0.8356630802 2.4305872917    0.834  0.855  3.7542  3.472    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-12      0.00 7.807e-01 2.191e-01 2.612e-05 7.148e-06 6.502e-05 -1.000 1.595e-04 2.632 3.000 2.634 2.487 2.447 2.437 2.461 2.442
0.00015547 -2.00000 10.00000 0.8362284303 2.4307658672    0.834  0.890  3.7490  3.417    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-12      0.00 7.737e-01 2.262e-01 2.679e-05 7.325e-06 6.661e-05 -1.000 1.637e-04 2.544 2.928 2.546 2.390 2.344 2.332 2.362 2.338
0.00015547 -2.00000 10.00000 0.8367878795 2.4309425354    0.835  0.933  3.7449  3.358    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-12      0.00 7.694e-01 2.305e-01 2.719e-05 7.432e-06 6.756e-05 -1.000 1.636e-04 2.438 2.836 2.440 2.277 2.227 2.212 2.246 2.220
0.00015547 -2.00000 10.00000 0.8368698359 2.4309682846    0.835  0.940  3.7445  3.349    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-12      0.00 7.690e-01 2.309e-01 2.722e-05 7.443e-06 6.765e-05 -1.000 1.289e-04 2.419 2.819 2.422 2.258 2.207 2.193 2.227 2.200
0.00015547 -2.00000 10.00000 0.8373202085 2.4311103821    0.835  0.982  3.7421  3.298    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-12      0.00 7.667e-01 2.332e-01 2.741e-05 7.493e-06 6.811e-05 -1.000 1.602e-04 2.316 2.724 2.319 2.150 2.097 2.081 2.119 2.089
